username,name,surname,specialty,doctorAMKA,ADMIN_userID,role
amathieu19,Auroora,Mathieu,orthopeadic,0656898046,5505,doctor
ijunifer1a,Iolanthe,Junifer,optician,2553896492,4951,doctor
acranefield1b,Astrix,Cranefield,orthopeadic,6269812240,8719,doctor
ksnawden1c,Kinna,Snawden,general practitioner,0165124660,6580,doctor
oiglesia1d,Orbadiah,Iglesia,orthopeadic,5276386390,617,doctor
itweed1e,Imojean,Tweed,optician,6755596922,3627,doctor
rolek1f,Reinaldo,Olek,optician,5670501977,1697,doctor
bsorensen1g,Brittan,Sorensen,optician,2821646682,6924,doctor
dkeyson1h,Dody,Keyson,optician,2062655347,2371,doctor
pwisson1i,Paco,Wisson,orthopeadic,6443909402,1108,doctor
twhebell1j,Thibaut,Whebell,general practitioner,5662999627,275,doctor
bclappson1k,Becky,Clappson,orthopeadic,1722726628,5812,doctor
dducrow1l,Dacy,Ducrow,orthopeadic,7475756564,6099,doctor
dboni1m,Diarmid,Boni,optician,1539540375,7408,doctor
gmaulkin1n,Gasparo,Maulkin,general practitioner,4473045641,1037,doctor
tpudney1o,Theo,Pudney,orthopeadic,9317996329,2291,doctor
cdaveren1p,Candy,Daveren,orthopeadic,7717142430,7673,doctor
dcumberledge1q,Doti,Cumberledge,orthopeadic,6760921194,4511,doctor
bskegg1r,Bernard,Skegg,optician,8819727919,1982,doctor
qodowd1s,Quintana,O'Dowd,orthopeadic,1105645584,7723,doctor
egofford1t,Ernestus,Gofford,orthopeadic,9413834709,5459,doctor
jcaslane1u,Jayne,Caslane,orthopeadic,0581639022,2005,doctor
akryszkiecicz1v,Angel,Kryszkiecicz,general practitioner,3260741437,991,doctor
bkopisch1w,Brit,Kopisch,orthopeadic,7775106298,6767,doctor
druggen1x,Dee dee,Ruggen,orthopeadic,1979420114,1383,doctor
dsymcoxe1y,Demetri,Symcoxe,optician,3292411122,4511,doctor
rfinch1z,Rog,Finch,general practitioner,2297517556,4604,doctor
wbillingham20,Wilhelm,Billingham,general practitioner,1856670678,7023,doctor
alinskill21,Addi,Linskill,orthopeadic,5501523973,4951,doctor
eplaskett22,Ernest,Plaskett,optician,4417558787,9687,doctor
druben23,Dena,Ruben,orthopeadic,8962923963,5459,doctor
eticksall24,Emily,Ticksall,orthopeadic,4718107644,4602,doctor
adewdney25,Armstrong,Dewdney,orthopeadic,9837611510,2327,doctor
acecere26,Alaster,Cecere,orthopeadic,6228968165,4604,doctor
dvesty27,Devonne,Vesty,optician,0095094725,9902,doctor
sdymick28,Sisely,Dymick,general practitioner,4740091518,2049,doctor
msheircliffe29,Mahmoud,Sheircliffe,orthopeadic,6391181705,2826,doctor
nhaspineall2a,Nicolai,Haspineall,general practitioner,2554460019,2958,doctor
vviveash2b,Viola,Viveash,orthopeadic,1735232599,5505,doctor
mgenn2c,Marne,Genn,optician,3447717696,1001,doctor
shebborn2d,Stewart,Hebborn,general practitioner,8604311440,8070,doctor
etwell2e,Essy,Twell,general practitioner,2835107762,1015,doctor
lmoreing2f,Lebbie,Moreing,orthopeadic,8114248246,2327,doctor
himore2g,Hildegaard,Imore,optician,2419914899,2958,doctor
mdowty2h,Michaeline,Dowty,optician,9990062781,5727,doctor
jculpin2i,Joan,Culpin,optician,3527202781,5070,doctor
ltzar2j,Lou,Tzar,orthopeadic,2340012791,1383,doctor
rserle2k,Raf,Serle,general practitioner,1238561551,2966,doctor
tstubbings2l,Terry,Stubbings,orthopeadic,0428888666,4951,doctor
mkurton2m,Mohandis,Kurton,orthopeadic,6033616596,6289,doctor
ladamson2n,Lanni,Adamson,orthopeadic,9942197729,6888,doctor
nbolderson2o,Nollie,Bolderson,optician,6437859407,6847,doctor
nkinde2p,Nikolia,Kinde,general practitioner,8436722000,2958,doctor
jlascell2q,Janifer,Lascell,general practitioner,7825646037,2380,doctor
ppimlock2r,Pasquale,Pimlock,orthopeadic,2495236715,8653,doctor
